Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.90, SNR 14.76 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.31, SNR 16.47 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.66, SNR 14.93 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 52.67, SNR 16.37 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.10, SNR 16.17 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.26, SNR 15.89 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.31, SNR 14.18 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.43, SNR 15.00 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.35, SNR 16.06 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.82, SNR 15.08 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.21, SNR 14.84 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 46.54, SNR 16.36 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.98, SNR 14.91 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.16, SNR 16.47 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.43, SNR 15.85 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.90, SNR 16.16 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.90, SNR 15.97 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 52.59, SNR 15.84 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 52.83, SNR 16.02 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.16, SNR 16.23 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.63, SNR 16.02 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.26, SNR 14.63 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.51, SNR 16.38 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 47.33, SNR 15.31 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.82, SNR 14.72 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.73, SNR 15.35 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.31, SNR 13.96 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.92, SNR 14.54 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.55, SNR 14.16 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.53, SNR 15.01 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.66, SNR 15.30 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.02, SNR 16.40 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.21, SNR 15.96 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.39, SNR 14.69 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.55, SNR 16.17 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 52.28, SNR 16.25 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.27, SNR 15.75 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.39, SNR 15.89 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 47.01, SNR 15.86 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.02, SNR 13.97 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 46.86, SNR 16.06 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.10, SNR 16.11 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.61, SNR 16.07 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.57, SNR 15.28 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.82, SNR 14.76 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.92, SNR 15.01 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.45, SNR 15.98 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.66, SNR 16.42 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.71, SNR 16.13 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.92, SNR 16.15 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.53, SNR 14.63 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.82, SNR 14.42 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.92, SNR 15.81 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.98, SNR 15.59 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.42, SNR 15.65 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.37, SNR 16.11 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.92, SNR 16.47 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.57, SNR 13.88 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.29, SNR 15.96 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.98, SNR 16.01 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.47, SNR 16.03 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.94, SNR 14.62 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.82, SNR 15.68 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.27, SNR 14.12 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.39, SNR 15.83 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.49, SNR 16.54 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.34, SNR 14.50 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 53.07, SNR 16.34 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.58, SNR 13.91 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.82, SNR 16.23 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 47.80, SNR 14.34 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.53, SNR 15.06 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 01.27, Side channel BER 48.43, SNR 17.06 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 01.19, Side channel BER 50.31, SNR 17.04 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.11, SNR 19.94 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.16, SNR 20.10 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.16, SNR 18.46 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.18, SNR 20.01 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.45, SNR 18.74 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.43, Side channel BER 50.31, SNR 17.80 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.43, Side channel BER 53.14, SNR 18.07 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.29, SNR 19.74 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 01.19, Side channel BER 47.72, SNR 17.37 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.51, SNR 19.97 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.31, SNR 19.05 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.53, Side channel BER 50.00, SNR 18.25 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.43, Side channel BER 50.00, SNR 18.22 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.02, SNR 18.14 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.27, SNR 20.13 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.16, SNR 19.61 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.03, SNR 18.83 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.29, SNR 19.84 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.45, SNR 20.19 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.00, SNR 18.70 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.43, SNR 20.12 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.14, SNR 20.35 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 47.09, SNR 17.68 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.53, SNR 18.89 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 02.42, Side channel BER 50.24, SNR 16.21 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 18.37, Side channel BER 49.45, SNR -28.12 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.61, SNR 19.09 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 04.10, Side channel BER 51.89, SNR 15.72 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.49, SNR 20.02 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 04.97, Side channel BER 52.75, SNR 15.37 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.27, Side channel BER 50.47, SNR 17.80 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.24, SNR 19.83 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.29, SNR 19.34 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 03.88, Side channel BER 49.37, SNR 15.49 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 01.33, Side channel BER 47.56, SNR 17.33 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.24, SNR 19.74 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 02.48, Side channel BER 48.43, SNR 15.23 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 02.32, Side channel BER 50.00, SNR 16.27 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 02.48, Side channel BER 50.31, SNR 15.24 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.62, Side channel BER 47.48, SNR 17.14 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.51, Side channel BER 51.73, SNR 18.15 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.37, SNR 19.78 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.25, Side channel BER 49.29, SNR 18.04 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 52.20, SNR 18.45 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 03.02, Side channel BER 50.08, SNR 15.72 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.53, SNR 18.70 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.06, SNR 18.92 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.43, SNR 20.35 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 02.81, Side channel BER 50.39, SNR 15.75 dB
Encoding 6, SN 00000, Symbol length 27, Main channel BER 02.09, Side channel BER 49.29, SNR 16.10 dB
