09/09/15 TX gain 8~30~2, alpha 20~40~10, encoding 0~4~2 120s/2s
Encoding 0, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.34, SNR 2.10 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 02.18, Side channel BER 49.37, SNR 3.58 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.97, SNR 3.83 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 53.62, SNR 3.28 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.53, SNR 3.81 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.24, Side channel BER 51.26, SNR 2.87 dB
Encoding 2, SN 00581, Symbol length 27, Main channel BER 44.76, Side channel BER 49.61, SNR -5.87 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.49, SNR 2.48 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.61, SNR 3.53 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.73, SNR 3.93 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.16, Side channel BER 51.26, SNR 2.11 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.29, SNR 4.37 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.26, SNR 3.89 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 02.50, Side channel BER 49.29, SNR 3.31 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.86, SNR 3.99 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 52.44, SNR 3.78 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.34, SNR 4.69 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.00, SNR 3.68 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 03.31, Side channel BER 51.10, SNR 2.68 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.94, SNR 3.59 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.97, SNR 4.40 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.24, SNR 3.58 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.48, Side channel BER 50.71, SNR 3.45 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.86, SNR 3.74 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.63, SNR 4.05 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.73, Side channel BER 51.10, SNR 2.96 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.24, Side channel BER 47.88, SNR 1.83 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.69, SNR 4.10 dB
